Country,Consumption
United States,19687287
China,12791553
India,4443000
Japan,4012877
Russia,3631287
Saudi Arabia,3302000
Brazil,2984000
South Korea,2605440
Canada,2486301
Germany,2383393
Mexico,2052607
Iran,1803999
France,1705568
Indonesia,1623000
United Kingdom,1583896
Singapore,1357000
Thailand,1302000
Spain,1290063
Italy,1236628
Australia,1114645
Taiwan,981203
Turkey,941861
Netherlands,937098
United Arab Emirates,896000
Egypt,877000
Iraq,857000
Argentina,709000
Malaysia,708000
South Africa,640000
Belgium,631522
Venezuela,598000
Poland,582161
Pakistan,556000
Vietnam,478000
Algeria,429000
Philippines,429000
Nigeria,428000
Hong Kong,408491
Kuwait,359000
Colombia,357000
Chile,351989
Kazakhstan,325000
Sweden,322109
Greece,296101
Morocco,275000
Austria,262352
Ecuador,259000
Peru,246000
Ukraine,244000
Portugal,236866
Israel,236249
Switzerland,228194
Libya,223000
Finland,210030
Norway,204090
Romania,200000
Oman,183000
Czech Republic (Czechia),179956
Qatar,172000
New Zealand,166913
Denmark,158194
Hungary,155544
Panama,155000
Cuba,153000
Lebanon,153000
Ireland,152404
Turkmenistan,149000
Sudan,140000
Syria,140000
Belarus,137000
Angola,133000
Dominican Republic,133000
Sri Lanka,127000
Myanmar,123000
Jordan,114000
Kenya,114000
Bangladesh,113000
Bulgaria,97000
Tunisia,97000
Puerto Rico,96746
Azerbaijan,96000
Guatemala,93000
Bolivia,90000
Ghana,88000
Slovakia,81587
Gibraltar,75000
Ethiopia,74000
Serbia,74000
Tanzania,71999
Croatia,69000
Bahrain,62000
Lithuania,61612
Yemen,60000
Honduras,58000
Trinidad and Tobago,57000
Luxembourg,56194
Costa Rica,55000
Jamaica,54000
Uruguay,53000
Slovenia,52298
Cyprus,52000
El Salvador,52000
Côte d'Ivoire,51000
Paraguay,51000
Senegal,49000
Uzbekistan,49000
Cambodia,48000
Malta,47000
Nepal,43000
Cameroon,40000
Kyrgyzstan,40000
Mozambique,40000
Latvia,37694
Papua New Guinea,37001
Nicaragua,37000
Benin,36000
Afghanistan,35000
Bosnia and Herzegovina,35000
Georgia,33000
Uganda,32001
Estonia,28855
Mauritius,28000
Albania,27000
Namibia,26000
State of Palestine,24001
Zimbabwe,24000
Burkina Faso,23000
Haiti,23000
Zambia,22000
Mali,21999
Botswana,21000
DR Congo,21000
Gabon,21000
Mongolia,21000
North Macedonia,21000
Tajikistan,21000
Bahamas,20036
New Caledonia,20000
Iceland,19090
Guinea,19001
Moldova,18001
Laos,18000
Madagascar,18000
North Korea,18000
Réunion,17999
Macao,17110
Congo,17000
Mauritania,17000
Martinique,16999
U.S. Virgin Islands,16440
Brunei,16000
Fiji,16000
Togo,15000
Guyana,14000
Guadeloupe,13000
Suriname,13000
Guam,12570
Niger,12000
Barbados,11001
Maldives,11000
South Sudan,8001
Aruba,8000
Liberia,8000
Seychelles,7299
Montenegro,7000
Rwanda,6700
French Polynesia,6599
Sierra Leone,6500
Djibouti,6360
Malawi,6001
Armenia,6000
Cabo Verde,5600
Somalia,5600
Eswatini,5300
Equatorial Guinea,5200
Antigua and Barbuda,5001
Lesotho,5001
Bermuda,5000
French Guiana,5000
Faeroe Islands,4600
Cayman Islands,4401
Belize,4001
Greenland,4000
Gambia,3800
Timor-Leste,3501
Saint Lucia,3099
Bhutan,3001
Eritrea,3000
Central African Republic,2800
Guinea-Bissau,2700
Samoa,2400
American Samoa,2375
Chad,2299
Grenada,2000
Western Sahara,1701
Saint Kitts and Nevis,1700
St. Vincentand Grenadines,1619
Solomon Islands,1600
Burundi,1499
Turks and Caicos,1420
Dominica,1301
Comoros,1300
British Virgin Islands,1240
Vanuatu,1100
Sao Tomeand Principe,1000
Tonga,899
Saint Pierreand Miquelon,660
Cook Islands,600
Nauru,469
Kiribati,400
Montserrat,400
Falkland Islands,290
Saint Helena,70
Niue,51
