Country,Oil_21
United States,11184870
Russia,10111830
Saudi Arabia,9313145
Canada,4459455
Iraq,4084822
China,3987677
United Arab Emirates,3091481
Brazil,2905121
Iran,2546336
Kuwait,2527106
Norway,1775813
Kazakhstan,1764463
Mexico,1734495
Nigeria,1540991
Qatar,1303685
Libya,1237808
Algeria,1133123
Angola,1127449
Oman,970816
United Kingdom,810531
Colombia,736351
Azerbaijan,710758
Indonesia,658820
India,602336
Venezuela,594808
Egypt,560942
Malaysia,511104
Argentina,507337
Ecuador,472873
Australia,334448
Republic of the Congo,265871
Turkmenistan,185891
Vietnam,182146
Ghana,179890
Thailand,176984
Gabon,175041
Bahrain,174883
South Sudan,157122
Equatorial Guinea,132562
Guyana,110200
Italy,100129
Brunei,98178
Chad,87932
Pakistan,82514
Yemen,70085
Sudan,66912
Turkey,66287
Romania,64790
Denmark,64124
Cameroon,63203
Trinidad and Tobago,59847
Peru,38391
Papua New Guinea,37233
Germany,35664
Tunisia,35247
Syria,34151
Belarus,33973
Cuba,33912
Ukraine,33235
Côte d'Ivoire,32982
Netherlands,32723
Bolivia,31631
Democratic Republic of the Congo,22000
Poland,17835
Hungary,17733
Mongolia,16703
Albania,16093
Serbia,15199
Suriname,14833
East Timor,14000
France,13033
Croatia,11341
Austria,10841
New Zealand,8249
Niger,8000
Myanmar,7625
Guatemala,6307
Uzbekistan,5090
Chile,5000
Japan,4040
Bangladesh,3000
Czech Republic,1687
Greece,1164
Belize,1028
Barbados,1000
Bulgaria,1000
Philippines,953
South Africa,950
Kyrgyzstan,706
Lithuania,700
Tajikistan,316
Georgia,296
Taiwan,196
Spain,131
Slovakia,91
Israel,25
Morocco,25
